id,sensor_id,data,time_stamp
1,'1',18.2,'2021-10-23T10:05:26.700427+02'
2,'1',18.2,'2021-10-23T10:26:28.601499+02'
3,'1',18.2,'2021-10-23T10:47:27.015627+02'
4,'1',18.2,'2021-10-23T11:10:07.826942+02'
5,'1',18.3,'2021-10-23T11:32:07.197929+02'
6,'1',18.3,'2021-10-23T11:55:25.319152+02'
7,'1',18.3,'2021-10-23T12:16:48.7432+02'
8,'1',18.4,'2021-10-23T12:37:23.107564+02'
9,'1',18.4,'2021-10-23T12:58:31.044476+02'
10,'1',18.5,'2021-10-23T13:20:55.556262+02'
11,'1',18.5,'2021-10-23T13:42:18.472641+02'
12,'1',18.6,'2021-10-23T14:03:46.722234+02'
13,'1',18.6,'2021-10-23T14:24:25.49632+02'
14,'1',18.7,'2021-10-23T14:45:49.284101+02'
15,'1',18.6,'2021-10-23T15:06:39.61187+02'
16,'1',18.7,'2021-10-23T15:28:11.343683+02'
17,'1',18.6,'2021-10-23T15:50:13.329439+02'
18,'1',18.6,'2021-10-23T16:13:03.209438+02'
19,'1',18.6,'2021-10-23T16:34:56.153915+02'
20,'1',18.6,'2021-10-23T16:55:45.906517+02'
21,'1',18.6,'2021-10-23T17:16:40.817553+02'
22,'1',18.6,'2021-10-23T17:38:25.349153+02'
23,'1',18.6,'2021-10-23T18:00:00.725524+02'
24,'1',18.6,'2021-10-23T18:22:03.742091+02'
25,'1',18.5,'2021-10-23T18:43:59.089673+02'
26,'1',18.5,'2021-10-23T19:04:27.764585+02'
27,'1',18.5,'2021-10-23T19:25:12.226208+02'
28,'1',18.5,'2021-10-23T19:46:42.016965+02'
29,'1',18.4,'2021-10-23T20:08:25.866293+02'
30,'1',18.4,'2021-10-23T20:29:54.419611+02'
31,'1',18.4,'2021-10-23T20:50:32.953713+02'
32,'1',18.3,'2021-10-23T21:13:18.384128+02'
33,'1',18.3,'2021-10-23T21:35:16.876269+02'
34,'1',18.3,'2021-10-23T21:58:03.422353+02'
35,'1',18.2,'2021-10-23T22:20:29.199317+02'
36,'1',18.2,'2021-10-23T22:43:06.263496+02'
37,'1',18.1,'2021-10-23T23:04:18.299928+02'
38,'1',18.1,'2021-10-23T23:25:38.106557+02'
39,'1',18.1,'2021-10-23T23:46:33.56013+02'
40,'1',18.0,'2021-10-24T00:07:18.183527+02'
41,'1',18.0,'2021-10-24T00:28:13.962939+02'
42,'1',18.0,'2021-10-24T00:49:24.486852+02'
43,'1',17.9,'2021-10-24T01:10:44.802836+02'
44,'1',17.9,'2021-10-24T01:32:25.59144+02'
45,'1',17.8,'2021-10-24T01:53:42.10037+02'
46,'1',17.8,'2021-10-24T02:14:59.590305+02'
47,'1',17.8,'2021-10-24T02:35:46.106489+02'
48,'1',17.7,'2021-10-24T02:57:02.697825+02'
49,'1',17.7,'2021-10-24T03:18:36.944688+02'
50,'1',17.7,'2021-10-24T03:40:04.516381+02'
51,'1',17.6,'2021-10-24T04:01:56.77085+02'
52,'1',17.5,'2021-10-24T04:22:59.759183+02'
53,'1',17.5,'2021-10-24T04:44:13.381622+02'
54,'1',17.5,'2021-10-24T05:06:46.340157+02'
55,'1',17.4,'2021-10-24T05:29:02.32224+02'
56,'1',17.3,'2021-10-24T05:51:20.521837+02'
57,'1',17.3,'2021-10-24T06:12:51.093533+02'
58,'1',17.3,'2021-10-24T06:34:01.73493+02'
59,'1',17.2,'2021-10-24T06:55:22.138963+02'
60,'1',17.2,'2021-10-24T07:16:18.674779+02'
61,'1',17.1,'2021-10-24T07:38:39.693809+02'
62,'1',17.1,'2021-10-24T08:00:18.112517+02'
63,'1',17.0,'2021-10-24T08:22:15.162181+02'
64,'1',17.0,'2021-10-24T08:45:12.600572+02'
65,'1',16.9,'2021-10-24T09:07:13.146553+02'
66,'1',16.9,'2021-10-24T09:28:54.576703+02'
67,'1',16.9,'2021-10-24T09:49:54.959803+02'
68,'1',16.8,'2021-10-24T10:11:08.479099+02'
69,'1',16.8,'2021-10-24T10:33:09.505642+02'
70,'1',16.8,'2021-10-24T10:54:17.094213+02'
71,'1',16.8,'2021-10-24T11:15:18.120753+02'
72,'1',16.9,'2021-10-24T11:38:03.613446+02'
73,'1',16.9,'2021-10-24T12:00:12.390734+02'
74,'1',17.0,'2021-10-24T12:22:18.716225+02'
75,'1',17.0,'2021-10-24T12:45:17.483218+02'
76,'1',17.1,'2021-10-24T13:06:38.793445+02'
77,'1',17.1,'2021-10-24T13:27:23.806918+02'
78,'1',17.2,'2021-10-24T13:49:10.15858+02'
79,'1',17.2,'2021-10-24T14:10:40.903027+02'
80,'1',17.2,'2021-10-24T14:32:07.28564+02'
81,'1',17.3,'2021-10-24T14:54:01.757632+02'
82,'1',17.2,'2021-10-24T15:15:20.634941+02'
83,'1',17.2,'2021-10-24T15:36:39.428216+02'
84,'1',17.2,'2021-10-24T15:57:25.704422+02'
85,'1',17.2,'2021-10-24T16:20:13.405244+02'
86,'1',17.3,'2021-10-24T16:42:12.299342+02'
87,'1',17.3,'2021-10-24T17:03:21.664239+02'
88,'1',17.2,'2021-10-24T17:24:31.472742+02'
89,'1',17.2,'2021-10-24T17:46:11.156314+02'
90,'1',17.2,'2021-10-24T18:07:23.791299+02'
91,'1',17.2,'2021-10-24T18:28:41.604689+02'
92,'1',17.2,'2021-10-24T18:49:29.828424+02'
93,'1',17.1,'2021-10-24T19:10:28.422642+02'
94,'1',17.1,'2021-10-24T19:32:08.818909+02'
95,'1',17.1,'2021-10-24T19:55:15.778159+02'
96,'1',17.1,'2021-10-24T20:17:09.338112+02'
97,'1',17.0,'2021-10-24T20:39:11.605972+02'
98,'1',17.0,'2021-10-24T21:00:52.787409+02'
99,'1',17.0,'2021-10-24T21:21:18.949502+02'
100,'1',16.9,'2021-10-24T21:44:02.039954+02'
101,'1',16.9,'2021-10-24T22:05:41.096462+02'
102,'1',16.9,'2021-10-24T22:26:22.922657+02'
103,'1',16.9,'2021-10-24T22:47:46.573345+02'
104,'1',16.8,'2021-10-24T23:08:20.976844+02'
105,'1',16.8,'2021-10-24T23:31:05.473022+02'
106,'1',16.7,'2021-10-24T23:52:55.383137+02'
107,'1',16.7,'2021-10-25T00:14:04.309635+02'
108,'1',16.7,'2021-10-25T00:35:57.438221+02'
109,'1',16.7,'2021-10-25T00:56:14.559085+02'
110,'1',16.7,'2021-10-25T01:18:25.872181+02'
111,'1',16.6,'2021-10-25T01:39:26.442289+02'
112,'1',16.6,'2021-10-25T02:00:25.063095+02'
113,'1',16.6,'2021-10-25T02:21:31.976573+02'
114,'1',17.0,'2021-10-25T02:43:13.96886+02'
115,'1',17.9,'2021-10-25T03:05:44.796969+02'
116,'1',18.2,'2021-10-25T03:27:05.055832+02'
117,'1',18.5,'2021-10-25T03:49:26.135014+02'
118,'1',18.8,'2021-10-25T04:10:12.734703+02'
119,'1',18.9,'2021-10-25T04:32:06.275083+02'
120,'1',19.0,'2021-10-25T04:54:50.951492+02'
121,'1',19.0,'2021-10-25T05:16:56.969699+02'
122,'1',19.2,'2021-10-25T05:37:11.17728+02'
123,'1',19.3,'2021-10-25T05:59:05.714139+02'
124,'1',19.4,'2021-10-25T06:20:17.355516+02'
125,'1',19.5,'2021-10-25T06:41:38.898281+02'
126,'1',19.6,'2021-10-25T07:02:24.639126+02'
127,'1',19.7,'2021-10-25T07:24:00.974583+02'
128,'1',19.7,'2021-10-25T07:47:00.039161+02'
129,'1',19.8,'2021-10-25T08:08:42.48433+02'
130,'1',19.9,'2021-10-25T08:29:12.591407+02'
131,'1',19.9,'2021-10-25T08:51:25.885885+02'
132,'1',20.0,'2021-10-25T09:12:21.249643+02'
133,'1',20.1,'2021-10-25T09:33:59.823058+02'
134,'1',20.1,'2021-10-25T09:54:28.550829+02'
135,'1',20.1,'2021-10-25T10:17:07.458462+02'
136,'1',20.1,'2021-10-25T10:38:53.328524+02'
137,'1',20.0,'2021-10-25T11:01:05.889993+02'
138,'1',19.9,'2021-10-25T11:22:49.371203+02'
139,'1',19.8,'2021-10-25T11:43:37.70936+02'
140,'1',19.8,'2021-10-25T12:04:37.646327+02'
141,'1',19.8,'2021-10-25T12:25:57.587294+02'
142,'1',19.8,'2021-10-25T12:46:36.50237+02'
143,'1',19.9,'2021-10-25T13:07:38.362403+02'
144,'1',19.8,'2021-10-25T13:28:37.643657+02'
145,'1',19.8,'2021-10-25T13:51:13.006941+02'
146,'1',19.8,'2021-10-25T14:12:59.73783+02'
147,'1',19.9,'2021-10-25T14:33:44.285085+02'
148,'1',19.8,'2021-10-25T14:54:29.893666+02'
149,'1',19.9,'2021-10-25T15:16:20.586095+02'
150,'1',19.8,'2021-10-25T15:38:59.641852+02'
151,'1',19.8,'2021-10-25T16:00:17.640238+02'
152,'1',19.8,'2021-10-25T16:21:41.36606+02'
153,'1',19.8,'2021-10-25T16:42:35.699818+02'
154,'1',19.8,'2021-10-25T17:04:15.814095+02'
155,'1',19.7,'2021-10-25T17:26:20.274322+02'
156,'1',19.7,'2021-10-25T17:48:14.623387+02'
157,'1',19.7,'2021-10-25T18:09:19.473253+02'
158,'1',19.6,'2021-10-25T18:31:45.002603+02'
